JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451544.901,5.5,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451545.5597,5.0,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451545.626,4.9,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451545.8,5.07,,,Vis.,OSE,,466,508,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451546.622,4.9,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451547.5,5.07,,,Vis.,OSE,,466,508,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451547.583,5.5,,,Vis.,IPA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451547.623,5.0,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451547.9229,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451547.984,5.6,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451548.9,5.5,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451549.628,5.2,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451549.6632,4.9,,,Vis.,AAX,G,,,,,,,V,,,,ETA CAR,,STD,,,,
2451549.876,5.3,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451549.91,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451550.6,5.6,,,Vis.,PPB,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451550.665,5.2,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451552.1500,5.5,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451552.9465,5.6,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451553.641,5.2,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451553.9465,5.6,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451554.627,5.2,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451555.43,5.3,,,Vis.,MLF,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451555.9389,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451556.9597,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451557.6,5.6,,,Vis.,PPB,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451557.631,4.9,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451557.91,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451558.1139,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451558.686,4.9,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451558.7590,5.0,,,Vis.,RFP,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451559.5882,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451560.1076,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451560.5,5.1,,,Vis.,PLA,A,,,,,,,V,,,,ETA CAR,,STD,,,,
2451560.866,5.5,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451560.91,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451560.9345,5.82,,,B,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451560.9347,ETA CAR,,STD,207,,,
2451560.9345,5.519,,,U,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451560.9347,ETA CAR,,STD,207,,,
2451560.9345,5.125,,,V,APOG,,,,,S. WALKER (APOG) ARCHIVAL DATA IMPORT,1,,Z,,,2451560.9347,ETA CAR,,STD,207,,,
2451560.9715,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451561.6,5.09,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451561.615,5.1,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451561.943,5.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451562.1257,5.7,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451562.6,5.12,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451562.617,5.1,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451563.0,5.7,,,Vis.,CR,K,,,,,,,V,,,,ETA CAR,,STD,,,,
2451563.656,4.9,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451563.896,5.4,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451563.9639,5.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,ETA CAR,VSS,STD,,,,
2451564.683,5.2,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451564.91,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451565.873,5.4,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451566.7,5.6,,,Vis.,PPB,M,,,,,,,V,,,,ETA CAR,,STD,,,,
2451567.664,4.9,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451567.7,5.11,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451568.5201,5.2,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451568.70,5.3,,,Vis.,STF,,,,,,,,V,,,,ETA CAR,AFOEV,STD,,,,
2451568.8,5.2,,,Vis.,PLA,A,,,,,,,V,,,,ETA CAR,,STD,,,,
2451568.9,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451569.1708,5.5,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451569.569,5.5,,,Vis.,IPA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451569.627,5.3,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451569.66,5.2,,,Vis.,STF,,,,,,,,V,,,,ETA CAR,AFOEV,STD,,,,
