JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451911.5625,0.8,,,Vis.,TDB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451911.6,1.0,,,Vis.,MOW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451911.8,0.6,,,Vis.,AAP,,05,11,SA3/68,,,,V,,,,ALF ORI,,STD,,,,
2451912.3312,0.7,,,Vis.,TKK,M,04,12,SVSO,,,,V,,,,ALF ORI,,STD,,,,
2451912.425,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451912.6708,0.7,,,Vis.,WI,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451914.4667,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451915.3264,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451915.5,0.7,,,Vis.,STF,M,,,,,,,V,,,,ALF ORI,AFOEV,STD,,,,
2451916.3965,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451917.384,0.6,,,Vis.,RMQ,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451917.6044,0.465,0.001,,V,LKA,,,,,"""PEPHQ, Check:  5.986,                           """,1,,V,,,,ALF ORI,,STD,,,,
2451918.3563,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451919.3979,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451919.6111,0.7,,,Vis.,TDB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451919.7,0.5,,,Vis.,AAP,M,05,11,SA3/68,,,,V,,,,ALF ORI,,STD,,,,
2451920.6,0.8,,,Vis.,MOL,FR,,,,,,,V,,,,ALF ORI,,STD,,,,
2451920.7,0.5,,,Vis.,LZT,BFM,,,,,,,V,,,,ALF ORI,,STD,,,,
2451920.7,1.0,,,Vis.,SHS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451921.333,0.2,,,Vis.,MVO,A,03,04,,,,,V,,,,ALF ORI,,STD,,,,
2451921.3979,0.5,,,Vis.,EER,,,,,,,,V,,,,ALF ORI,,STD,,,,
2451921.6556,0.472,0.001,,V,THR,,,,,"""PEPHQ, Check:  6.014,              4 INCH REFR. """,1,,V,,,,ALF ORI,,STD,,,,
